2025-12-13 14:51:08,249 -- 1765630268.249147 -- [MOVE] [Snap: 150] [Seq: 53] Player 1 moved from (5, 1) to (4, 1)
2025-12-13 14:51:08,290 -- 1765630268.290534 -- [MOVE] [Snap: 151] [Seq: 35] Player 4 moved from (0, 4) to (0, 3)
2025-12-13 14:51:08,311 -- 1765630268.311745 -- [CLAIM] [Snap: 151] [Seq: 54] Player 1 successfully CLAIMED block at (4, 1)
2025-12-13 14:51:08,322 -- 1765630268.322160 -- [MOVE] [Snap: 151] [Seq: 48] Player 2 moved from (2, 13) to (2, 12)
2025-12-13 14:51:08,394 -- 1765630268.394406 -- [MOVE] [Snap: 153] [Seq: 49] Player 2 moved from (2, 12) to (2, 11)
2025-12-13 14:51:08,404 -- 1765630268.404830 -- [MOVE] [Snap: 153] [Seq: 55] Player 1 moved from (4, 1) to (5, 1)
2025-12-13 14:51:08,468 -- 1765630268.468402 -- [MOVE] [Snap: 155] [Seq: 56] Player 1 moved from (5, 1) to (6, 1)
2025-12-13 14:51:08,468 -- 1765630268.468967 -- [MOVE] [Snap: 155] [Seq: 50] Player 2 moved from (2, 11) to (1, 11)
2025-12-13 14:51:08,530 -- 1765630268.530989 -- [MOVE] [Snap: 156] [Seq: 51] Player 2 moved from (1, 11) to (0, 11)
2025-12-13 14:51:08,552 -- 1765630268.552404 -- [MOVE] [Snap: 157] [Seq: 38] Player 4 moved from (0, 3) to (1, 3)
2025-12-13 14:51:08,552 -- 1765630268.552783 -- [MOVE] [Snap: 157] [Seq: 57] Player 1 moved from (6, 1) to (6, 2)
2025-12-13 14:51:08,563 -- 1765630268.563169 -- [MOVE] [Snap: 157] [Seq: 44] Player 3 moved from (0, 0) to (1, 0)
2025-12-13 14:51:08,604 -- 1765630268.604596 -- [MOVE] [Snap: 158] [Seq: 39] Player 4 moved from (1, 3) to (0, 3)
2025-12-13 14:51:08,604 -- 1765630268.604891 -- [MOVE] [Snap: 158] [Seq: 52] Player 2 moved from (0, 11) to (1, 11)
2025-12-13 14:51:08,615 -- 1765630268.615172 -- [MOVE] [Snap: 158] [Seq: 58] Player 1 moved from (6, 2) to (6, 3)
2025-12-13 14:51:08,626 -- 1765630268.626003 -- [MOVE] [Snap: 159] [Seq: 45] Player 3 moved from (1, 0) to (2, 0)
2025-12-13 14:51:08,656 -- 1765630268.656645 -- [MOVE] [Snap: 159] [Seq: 53] Player 2 moved from (1, 11) to (0, 11)
2025-12-13 14:51:08,677 -- 1765630268.677441 -- [MOVE] [Snap: 160] [Seq: 59] Player 1 moved from (6, 3) to (6, 4)
2025-12-13 14:51:08,677 -- 1765630268.677773 -- [BOOST] [Snap: 160] [Seq: 59] Player 1 collected BOOST (Type 1) at (6, 4)!
2025-12-13 14:51:08,688 -- 1765630268.688183 -- [MOVE] [Snap: 160] [Seq: 46] Player 3 moved from (2, 0) to (2, 1)
2025-12-13 14:51:08,719 -- 1765630268.719535 -- [CLAIM] [Snap: 161] [Seq: 54] Player 2 successfully CLAIMED block at (0, 11)
2025-12-13 14:51:08,740 -- 1765630268.740166 -- [MOVE] [Snap: 161] [Seq: 60] Player 1 moved from (6, 4) to (5, 4)
2025-12-13 14:51:08,781 -- 1765630268.781310 -- [CLAIM] [Snap: 162] [Seq: 47] Player 3 successfully CLAIMED block at (2, 1)
2025-12-13 14:51:08,812 -- 1765630268.812355 -- [MOVE] [Snap: 163] [Seq: 55] Player 2 moved from (0, 11) to (1, 11)
2025-12-13 14:51:08,822 -- 1765630268.822982 -- [CLAIM] [Snap: 163] [Seq: 61] Player 1 successfully CLAIMED block at (5, 4)
2025-12-13 14:51:08,874 -- 1765630268.874928 -- [MOVE] [Snap: 165] [Seq: 48] Player 3 moved from (2, 1) to (2, 0)
2025-12-13 14:51:08,875 -- 1765630268.875250 -- [MOVE] [Snap: 165] [Seq: 56] Player 2 moved from (1, 11) to (2, 11)
2025-12-13 14:51:08,875 -- 1765630268.875463 -- [MOVE] [Snap: 165] [Seq: 62] Player 1 moved from (5, 4) to (5, 3)
2025-12-13 14:51:08,967 -- 1765630268.967488 -- [MOVE] [Snap: 167] [Seq: 57] Player 2 moved from (2, 11) to (2, 12)
2025-12-13 14:51:08,967 -- 1765630268.967846 -- [MOVE] [Snap: 167] [Seq: 63] Player 1 moved from (5, 3) to (6, 3)
